Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/1/16 10:2:3 20.15 336 285 0
2025/1/16 10:2:4 20.23 336 210 0
2025/1/16 10:2:5 20.49 331 8191 0
2025/1/16 10:2:6 20.45 355 8191 0
2025/1/16 10:2:7 20.39 355 8191 0
2025/1/16 10:2:8 20.31 355 276 0
2025/1/16 10:2:9 20.39 355 8191 0
2025/1/16 10:2:10 20.43 355 8191 0
2025/1/16 10:2:11 20.61 356 8191 0
2025/1/16 10:2:12 20.61 356 8191 0
2025/1/16 10:2:13 20.23 356 8191 0
2025/1/16 10:2:14 20.21 356 8191 0
2025/1/16 10:2:15 20.37 356 8191 0
2025/1/16 10:2:16 20.43 356 8191 0
2025/1/16 10:2:17 20.09 356 191 1
2025/1/16 10:2:18 20.15 356 8191 0
2025/1/16 10:2:19 20.31 356 8191 0
2025/1/16 10:2:20 20.37 353 8191 0
2025/1/16 10:2:21 20.43 353 8191 0
2025/1/16 10:2:22 20.23 356 8191 0
2025/1/16 10:2:24 20.01 356 8191 0
2025/1/16 10:2:25 20.45 356 8191 0
2025/1/16 10:2:26 20.43 356 8191 0
2025/1/16 10:2:27 20.43 356 8191 0
2025/1/16 10:2:28 20.09 356 8191 0
2025/1/16 10:2:29 20.33 356 8191 0
2025/1/16 10:2:30 20.23 356 8191 0
2025/1/16 10:2:31 20.33 356 8191 0
2025/1/16 10:2:32 20.11 356 8191 0
2025/1/16 10:2:33 20.27 356 8191 0
2025/1/16 10:2:34 20.01 356 8191 0
2025/1/16 10:2:35 20.11 356 8191 0
2025/1/16 10:2:36 19.93 356 8191 0
2025/1/16 10:2:37 19.95 356 8191 0
2025/1/16 10:2:38 19.77 338 8191 0
2025/1/16 10:2:39 19.95 338 8190 0
2025/1/16 10:2:40 20.17 355 8191 0
2025/1/16 10:2:41 19.95 355 8191 0
2025/1/16 10:2:42 20.05 355 8191 0
2025/1/16 10:2:43 19.95 355 8191 0
2025/1/16 10:2:45 20.23 355 8190 0
2025/1/16 10:2:46 20.09 356 8191 0
2025/1/16 10:2:47 19.93 356 8191 0
2025/1/16 10:2:48 19.95 356 8191 0
2025/1/16 10:2:49 19.89 356 8191 0
2025/1/16 10:2:50 20.15 356 8191 0
2025/1/16 10:2:51 19.87 356 8191 0
2025/1/16 10:2:52 19.99 356 8191 0
2025/1/16 10:2:53 19.93 356 8190 0
2025/1/16 10:2:54 19.73 356 272 0
2025/1/16 10:2:56 19.63 350 8191 0
2025/1/16 9:57:35 13.05 414 8191 0
2025/1/16 9:57:36 12.83 414 8191 0
2025/1/16 9:57:37 12.83 414 8191 0
2025/1/16 9:57:38 12.97 414 8191 0
2025/1/16 9:57:39 12.67 414 8191 0
2025/1/16 9:57:40 12.91 414 8191 0
2025/1/16 9:57:41 12.95 414 8191 0
2025/1/16 9:57:42 13.01 414 8191 0
2025/1/16 9:57:43 12.87 414 8191 0
2025/1/16 9:57:44 12.95 414 8191 0
2025/1/16 9:57:45 12.87 414 8191 0
2025/1/16 9:57:47 12.97 414 8191 0
2025/1/16 9:57:48 12.83 414 8191 0
2025/1/16 9:57:49 12.77 414 8191 0
2025/1/16 9:57:50 13.01 414 8191 0
2025/1/16 9:57:51 12.83 414 8191 0
