Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:25:55 15.15 300.00 0
2025/1/15 15:25:55 15.15 300.00 0
2025/1/15 15:25:55 15.17 298.00 0
2025/1/15 15:25:55 15.17 298.00 0
2025/1/15 15:25:55 15.15 298.00 0
2025/1/15 15:25:55 15.15 298.00 0
2025/1/15 15:25:56 15.23 297.00 0
2025/1/15 15:25:56 15.23 297.00 0
2025/1/15 15:25:56 15.19 297.00 0
2025/1/15 15:25:56 15.11 298.00 0
2025/1/15 15:25:56 15.11 298.00 0
2025/1/15 15:25:56 15.21 298.00 0
2025/1/15 15:25:56 15.21 298.00 0
2025/1/15 15:25:57 15.23 298.00 0
2025/1/15 15:25:57 15.23 298.00 0
2025/1/15 15:25:57 15.11 298.00 0
2025/1/15 15:25:57 15.11 298.00 0
2025/1/15 15:25:57 15.19 298.00 0
2025/1/15 15:25:57 15.19 298.00 0
2025/1/15 15:25:57 15.13 298.00 0
2025/1/15 15:25:57 15.13 298.00 0
2025/1/15 15:25:57 15.13 299.00 0
2025/1/15 15:25:57 15.13 299.00 0
2025/1/15 15:25:58 15.15 298.00 0
2025/1/15 15:25:58 15.15 298.00 0
2025/1/15 15:25:58 15.23 302.00 0
2025/1/15 15:25:58 15.23 302.00 0
2025/1/15 15:25:58 15.19 297.00 0
2025/1/15 15:25:58 15.19 297.00 0
2025/1/15 15:25:58 15.17 297.00 0
2025/1/15 15:25:58 15.17 297.00 0
2025/1/15 15:25:59 15.23 300.00 0
2025/1/15 15:25:59 15.23 300.00 0
2025/1/15 15:25:59 15.21 297.00 0
2025/1/15 15:25:59 15.21 297.00 0
2025/1/15 15:25:59 15.23 301.00 0
2025/1/15 15:25:59 15.23 301.00 0
2025/1/15 15:25:59 15.17 300.00 0
2025/1/15 15:25:59 15.17 300.00 0
2025/1/15 15:26:0 15.27 299.00 0
2025/1/15 15:26:0 15.15 299.00 0
2025/1/15 15:26:0 15.15 299.00 0
2025/1/15 15:26:0 15.27 299.00 0
2025/1/15 15:26:0 15.27 299.00 0
2025/1/15 15:26:0 15.23 299.00 0
2025/1/15 15:26:0 15.23 299.00 0
2025/1/15 15:26:1 15.21 299.00 0
2025/1/15 15:26:1 15.21 299.00 0
2025/1/15 15:26:1 15.09 299.00 0
2025/1/15 15:26:1 15.09 299.00 0
2025/1/15 15:26:1 15.13 299.00 0
2025/1/15 15:26:1 15.13 299.00 0
2025/1/15 15:26:1 15.17 299.00 0
2025/1/15 15:26:1 15.17 299.00 0
2025/1/15 15:26:1 15.21 299.00 0
2025/1/15 15:26:2 15.21 299.00 0
2025/1/15 15:26:2 15.21 299.00 0
2025/1/15 15:26:2 15.23 299.00 0
2025/1/15 15:26:2 15.23 299.00 0
