Fecha,Hora,Corriente(A)
22/1/2025,16:21:14,-0.07
22/1/2025,16:21:14,-0.07
22/1/2025,16:21:14,-0.23
22/1/2025,16:21:14,-0.38
22/1/2025,16:21:14,-0.54
22/1/2025,16:21:14,-0.23
22/1/2025,16:21:14,-0.38
22/1/2025,16:21:14,-0.38
22/1/2025,16:21:15,-0.54
22/1/2025,16:21:15,-0.54
22/1/2025,16:21:15,-0.38
22/1/2025,16:21:15,-0.23
22/1/2025,16:21:15,-0.38
22/1/2025,16:21:15,-0.54
22/1/2025,16:21:15,-0.38
22/1/2025,16:21:15,-0.23
22/1/2025,16:21:15,-0.38
22/1/2025,16:21:15,-0.54
22/1/2025,16:21:16,-0.23
22/1/2025,16:21:16,-0.38
22/1/2025,16:21:16,-0.23
22/1/2025,16:21:16,-0.23
22/1/2025,16:21:16,-0.07
22/1/2025,16:21:16,-0.07
22/1/2025,16:21:16,-0.38
22/1/2025,16:21:16,-0.54
22/1/2025,16:21:16,-0.38
22/1/2025,16:21:16,-0.38
22/1/2025,16:21:17,-0.23
22/1/2025,16:21:17,-0.54
22/1/2025,16:21:17,-0.23
22/1/2025,16:21:17,-0.38
22/1/2025,16:21:17,-0.38
22/1/2025,16:21:17,-0.54
22/1/2025,16:21:17,-0.38
22/1/2025,16:21:17,-0.07
22/1/2025,16:21:17,-0.07
22/1/2025,16:21:17,-0.38
22/1/2025,16:21:18,-1.15
22/1/2025,16:21:18,-0.23
22/1/2025,16:21:18,-0.23
22/1/2025,16:21:18,-0.23
22/1/2025,16:21:18,-0.38
22/1/2025,16:21:18,-0.38
22/1/2025,16:21:18,-0.23
22/1/2025,16:21:18,-0.23
22/1/2025,16:21:18,-0.38
22/1/2025,16:21:18,-0.07
22/1/2025,16:21:19,-0.38
22/1/2025,16:21:19,-0.23
22/1/2025,16:21:19,-0.38
22/1/2025,16:21:19,-0.38
22/1/2025,16:21:19,-0.38
22/1/2025,16:21:19,-0.54
22/1/2025,16:21:19,-0.07
22/1/2025,16:21:19,-0.38
22/1/2025,16:21:19,-0.23
22/1/2025,16:21:19,-0.23
